5a42073d-4824-445f-874b-51955b1d0e00,Yatri,Bike,Project Zero,TwoWheeler
5a42073d-4824-445f-874b-51955b1d0e00,Yatri,Bike,Project One,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c2,Bajaj,Bike,Dominar 400 BS6,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c3,Bajaj,Bike,Dominar 250,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c4,Bajaj,Bike,Dominar 200,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c5,Bajaj,Bike,Pulsar N 250 Dual ABS,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c6,Bajaj,Bike,Pulsar 220f ABS,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c7,Bajaj,Bike,Pulsar NS 200 ABS FI,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c8,Bajaj,Bike,Pulsar NS 200 ABS ,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c9,Bajaj,Bike,Pulsar NS 200,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c10,Bajaj,Bike,Pulsar N 160 Dual ABS,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c11,Bajaj,Bike,Pulsar 160 NS ABS,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c12,Bajaj,Bike,Pulsar 160 TD,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c13,Bajaj,Bike,Pulsar 150 TD,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c14,Bajaj,Bike,Pulsar 150 TD,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c15,Bajaj,Bike,Pulsar 125,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c16,Bajaj,Bike,Pulsar NS 125 BS6,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c17,Bajaj,Bike,Discover 125 Disc,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c18,Bajaj,Bike,Discover 125 ST,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c19,Bajaj,Bike,Avenger 220 Cruise,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c20,Bajaj,Bike,Avenger 160 Street ABS,TwoWheeler
2c03eff3-cbc8-4fb4-9140-b7e71b4802c21,Bajaj,Bike,Platina 100 ES,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,R3,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,R15 M,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,R15 V3 BS6,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,R15 V4,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,FAZER-25,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,FZ-25,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,FZ-X,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,FZS V3 X-Connect,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,FZSV2,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,MT-15 BS6,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,FZ V2,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,SZ-RR,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,SALUTO,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Bike,XTZ 150 FI,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Scooter,FASCINO 125 FI,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Scooter,RayZR 125 FI,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Scooter,RayZR Street Rally 125 FI,TwoWheeler
bb5a2fbb-5424-4be8-b51e-d626c15ef05b,Yamaha,Scooter,NMAX 155,TwoWheeler
